,Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
0,68,0.26594424187230153,1.7097419804836047,11,2500,53,32.5032,3384122914.341918
1,73,0.3060428687357546,1.6965605266148591,11,2500,49,31.5696,3337790558.542553
2,37,0.09805913418155307,1.4395048228076865,13,2500,93,51.8748,4056535087.214242
3,28,0.4155505671270882,0.9906653903569225,12,2500,58,42.2776,2980367405.095819
4,27,0.22169111884689513,1.5250870379442296,10,2500,56,34.3964,3146253930.589814
5,38,0.07323647593216233,1.9011656316014178,17,2500,82,50.5192,5222793787.766622
6,39,0.48764449328138826,1.6529693712967473,12,2500,45,29.9776,3438771928.700148
7,43,0.21885880705786254,1.738328340795094,12,2500,65,37.0564,3774839362.581147
8,50,0.362322020652585,1.9231063640533719,16,2500,63,40.6804,4990910908.008483
9,2,0.4598692437784777,1.1863349090565012,13,2500,53,39.6812,3340181695.5716295
10,58,0.4812155652331862,1.6680959407862328,11,2500,43,27.2268,3045824247.4739337
11,59,0.4494160659338063,1.092610757419361,10,2500,45,32.282,2595068518.0447106
12,62,0.47285869918508827,1.4625719254151877,21,2500,78,56.9248,5704320107.285728
13,17,0.3574176244647301,1.7481399695042064,17,2500,65,45.998,5138390809.213891
14,34,0.3308945196506565,0.9433401553659703,12,2500,65,48.5308,3139212905.8241644
15,75,0.48380917148382546,1.7631946262869513,22,2500,74,53.1,6359577282.672558
16,79,0.3309084152973455,1.9085015665257727,10,2500,42,25.7672,3083571752.3997955
17,81,0.05777828773376986,1.1734312635056663,14,2500,112,67.7544,4165335371.927315
18,82,0.0906723437474189,1.4102904928034052,10,2500,67,39.9928,3076777502.603343
19,86,0.28256748414926863,1.997429201779772,12,2500,54,31.8016,3824568250.924574
20,91,0.28273101567087294,1.7818275141899647,16,2500,73,46.2104,4958344935.3128395
21,95,0.21745858898526826,1.4560792130274756,15,2500,81,53.8756,4635100180.219864
22,97,0.26706361566081244,1.9260975553322643,11,2500,51,29.8184,3445525676.1704865
23,6,0.26045945303542234,1.8338122544781121,20,25,7,0.0308,70777086.47634807
24,7,0.4114291695981279,1.125130282968622,13,17,6,0.018,45910632.90790662
25,94,0.3220532567319975,0.8752404107604574,12,17,8,0.0272,44078475.84298879
26,32,0.34965627080302547,1.2719010803343187,28,15,7,0.0196,94578536.82457465
27,21,0.06603073826925558,1.4207545081548412,15,15,7,0.0248,54664482.91940222
28,1,0.18901433179120225,1.9418718423173627,19,15,5,0.0164,65343375.82083478
29,90,0.26358461269161365,0.833027645228638,27,14,4,0.012,88298860.2323092
30,100,0.1427770428576749,0.44245531633408347,19,14,8,0.0232,62513308.02504482
31,60,0.3200325825005524,1.8563843939444427,30,13,8,0.0256,105034712.65840761
32,23,0.07670890709535169,0.583018624437588,21,13,5,0.0164,68697527.99715611
33,36,0.13699785557594435,0.7252035315705093,10,12,7,0.0164,34375664.053759165
34,31,0.40225625017019256,1.0818171641911698,27,10,5,0.0096,88794297.02036497
35,67,0.3079773301803249,1.5479129043188777,30,10,5,0.0116,96649897.9623378
36,56,0.07658898008806928,0.9028494099152607,13,10,10,0.0236,45635734.461369045
37,93,0.07466507083184236,1.4961763456139139,25,10,4,0.0088,84512974.4197196
38,88,0.498151061000786,1.267338198906932,28,10,4,0.0092,93505813.59913127
39,15,0.15914866773842734,1.528240843572282,18,10,4,0.0104,62136794.53521445
40,5,0.4032055870987817,1.517606750075272,18,9,5,0.0132,61009816.86613889
41,3,0.1916111891261189,1.0927112831473547,29,9,4,0.0076,93695001.7473875
42,99,0.47043142904128066,0.9035935117687887,12,9,6,0.0116,42881418.83529836
43,35,0.06928300126395437,1.967085328969472,14,9,6,0.012,46823939.591434464
44,48,0.06807760997494024,1.50276708027562,21,9,7,0.0148,70584476.6239173
45,22,0.4538259575619347,1.6003143104660182,23,8,4,0.0092,76802933.83945821
46,74,0.08502042832911813,0.22535373909730555,30,8,5,0.0088,96453691.37963799
47,78,0.2689535465720695,0.5383337143578523,30,8,5,0.0092,97405937.57580693
48,45,0.4508373078276906,1.4323122104858088,18,8,8,0.0148,62667337.93334281
49,24,0.09551910092579641,0.9116788287745823,26,8,5,0.01,85424075.78180109
50,25,0.13786540261612037,0.5197216181574513,20,8,4,0.0096,65976145.879997835
51,57,0.06898371796117238,0.784817536013478,29,8,6,0.0124,94755061.27970374
52,85,0.059473680070466106,0.6372903620462866,15,7,6,0.01,50499956.56998295
53,16,0.24928967475823816,1.399927538669699,27,7,5,0.0096,89576993.19723713
54,18,0.24072273595330385,0.43934886500477144,17,7,7,0.0116,56457334.931950405
55,69,0.3656795335121989,0.8671331394617119,30,7,6,0.008,97445121.58198245
