Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
69,0.13087712253767064,1.8288144776077517,15,500,54,35.044,3400121.051701552
29,0.282359405167049,1.3349272978719593,13,500,51,34.816,286899.9160881849
67,0.05300408042267926,1.6673664233852254,10,500,47,25.128,967581.0788938894
26,0.11578201266773586,1.393733311268884,11,500,55,33.844,108525.6256978749
53,0.28921159891556875,1.7679346036463357,13,500,49,28.542,4643054.07205799
80,0.4294724847327637,0.9474632875624864,10,500,37,27.406,135246.96177206046
23,0.14120828469426766,1.4405537329980551,12,500,63,35.942,115522.59226473559
61,0.47370082638096495,1.628816852623484,14,500,40,27.66,3715584.9689302295
21,0.3648917804890536,1.5424928678238659,23,500,70,51.226,3499085.5321636186
19,0.18225775174370296,1.9448704038662117,12,500,43,25.744,2497384.1996017965
42,0.07199266407421726,1.9905504212038285,12,500,46,25.924,2852719.5551661924
60,0.22451854452343728,1.7945725977552198,15,500,58,34.558,4561798.17746195
98,0.41556058340411306,1.5906691237999455,13,500,41,27.522,2196400.938351664
11,0.44228952685904244,1.4241490951723839,10,500,32,21.6,2145923.6501752865
10,0.49201778222854664,1.4253992156786268,17,500,49,35.558,4059433.574505512
58,0.3262016197037213,1.46484306374224,16,500,58,39.206,1756834.7017884285
75,0.16665857651203322,1.1371441076987803,17,500,85,59.5,34089.37724249946
88,0.2365114627044987,1.1204698918901794,12,500,57,38.722,38300.569335738226
5,0.3564658342313774,1.5831021026317529,10,500,37,21.94,2145876.2425975893
99,0.12820295080191463,1.9680868091785948,25,500,91,54.748,7110258.03169195
30,0.11624571337583449,1.721264590201732,14,500,56,35.792,1658621.0914930094
70,0.26480137653443747,1.9579091446586034,27,20,5,0.104,3986780.6167716864
72,0.26926271096142124,1.819005987632729,22,15,8,0.152,3277560.4674923494
86,0.3105554819320745,0.4481165286924698,15,15,5,0.07,2386244.725368656
74,0.3735962608310468,1.4415914984957023,21,14,5,0.08,3181024.4959574826
90,0.09491897589788562,1.9605893499942186,28,14,11,0.162,4049082.5201313742
46,0.4186812998534053,1.9748507959233654,29,14,6,0.084,4112881.3022145224
89,0.39098872461310447,0.4612278064876224,17,13,4,0.062,2609899.2065009433
39,0.2476893812993643,1.1844672910395646,21,13,5,0.074,3178152.1709124814
15,0.23523472026058373,0.8671737031598634,27,13,4,0.066,3873447.423414677
3,0.43370766819418677,1.9639078025789791,26,12,4,0.052,3749873.331391482
97,0.27677575287161765,0.43613012394263256,24,12,5,0.076,3512031.567411565
93,0.43922190184630816,1.2933451977396722,17,12,5,0.064,2669429.8802068136
20,0.453128084667419,0.8616985115827815,23,11,7,0.104,3383462.723006675
16,0.37785680204701994,1.9584891175508252,21,11,4,0.058,3172421.521967435
35,0.25599093941668205,1.5680629970125097,13,11,6,0.076,2113075.7231377303
76,0.31150656546659183,1.9816907797573777,27,11,5,0.074,3976664.5414157812
92,0.10165686360779741,0.9327944667844288,21,11,5,0.062,3160024.9151071436
96,0.3455940077391817,1.549851714066506,27,11,4,0.06,3799490.5389295067
